               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1118,            0.014285,             0.07719,           0.0062867,               0.375,            0.034031,           0.0063827,            0.071221,            0.010145,            0.049078,              0.0982,              0.0002,              0.0002
                   1,            0.097672,            0.013015,            0.066041,           0.0079086,                0.45,            0.037286,           0.0071702,            0.068113,            0.010855,            0.048683,            0.095499,          0.00049901,          0.00049901
                   2,             0.10294,            0.017509,            0.074196,            0.009759,               0.525,             0.05389,            0.010648,            0.063379,            0.011927,            0.048034,            0.092797,          0.00079683,          0.00079683
                   3,            0.094179,             0.01939,             0.07031,            0.013222,               0.675,            0.057396,            0.012029,            0.057098,            0.013292,            0.047146,            0.090093,           0.0010935,           0.0010935
                   4,            0.087624,            0.023656,             0.06662,            0.015809,                 0.8,            0.066204,            0.014473,            0.052211,            0.014297,            0.046206,            0.087389,           0.0013889,           0.0013889
                   5,            0.084276,            0.020229,            0.064711,            0.016134,               0.875,            0.068344,            0.015946,            0.049211,             0.01481,            0.045051,            0.084683,           0.0016832,           0.0016832
                   6,            0.077176,            0.025453,            0.058942,              0.0165,                   1,            0.070978,            0.018171,            0.047704,            0.014891,            0.043352,            0.081976,           0.0019762,           0.0019762
                   7,            0.077013,            0.023921,            0.057045,            0.014872,                   1,             0.15361,            0.046033,            0.045698,            0.015005,            0.042133,            0.079268,           0.0022681,           0.0022681
                   8,            0.073879,             0.02721,            0.053246,            0.012724,                   1,             0.23286,            0.067472,            0.043953,            0.014762,            0.039143,            0.076559,           0.0025588,           0.0025588
                   9,            0.070655,            0.026745,             0.05037,            0.011762,                   1,             0.26394,            0.086028,            0.042758,            0.014391,            0.036815,            0.073848,           0.0028483,           0.0028483
                  10,            0.067522,              0.0241,            0.047113,              0.1309,                 0.6,             0.14965,            0.041647,            0.042678,             0.01313,            0.031582,            0.071137,           0.0031366,           0.0031366
                  11,            0.068972,            0.024158,            0.042286,             0.20094,              0.4459,             0.27995,            0.086449,            0.040978,            0.012306,             0.02962,            0.068424,           0.0034238,           0.0034238
                  12,             0.06242,             0.02237,            0.039734,             0.26663,               0.625,             0.36831,             0.11673,            0.044773,            0.010705,            0.027324,             0.06571,           0.0037097,           0.0037097
                  13,            0.064444,            0.018572,            0.036947,             0.12972,                 0.8,              0.1547,            0.046399,            0.046811,            0.010903,            0.027224,            0.062994,           0.0039945,           0.0039945
                  14,            0.067147,            0.020286,            0.036295,             0.29242,               0.625,             0.36911,             0.11191,            0.043733,            0.011462,             0.02725,            0.060278,            0.004278,            0.004278
                  15,            0.062837,            0.019076,            0.034311,             0.43009,             0.87469,             0.59021,             0.19967,            0.042926,            0.011556,            0.027526,             0.05756,           0.0045604,           0.0045604
                  16,            0.065556,             0.01736,             0.03361,             0.36064,               0.825,             0.49857,             0.12015,            0.038318,            0.011933,            0.027509,            0.054842,           0.0048416,           0.0048416
                  17,            0.061138,            0.017669,            0.034031,             0.49105,                 0.9,             0.60627,             0.24456,            0.057558,            0.010842,             0.02737,            0.052122,           0.0051216,           0.0051216
                  18,            0.076961,             0.01636,             0.03257,             0.29281,             0.83852,             0.42111,             0.13183,            0.056464,            0.010701,             0.02713,              0.0494,           0.0054004,           0.0054004
                  19,            0.071528,            0.015369,            0.032243,             0.23486,               0.475,             0.21173,            0.045331,            0.056597,            0.010898,            0.026066,            0.046678,            0.005678,            0.005678
                  20,            0.076208,             0.01615,            0.032448,             0.42343,             0.85835,              0.5159,             0.11297,            0.052664,            0.010254,            0.025197,            0.043954,           0.0059545,           0.0059545
                  21,            0.066039,            0.015904,            0.030941,             0.51096,                0.85,             0.69074,             0.37277,            0.049529,            0.010401,            0.024202,             0.04123,           0.0062297,           0.0062297
                  22,            0.071232,            0.015947,            0.029861,             0.52795,               0.925,             0.71142,             0.27228,            0.046262,           0.0095515,            0.023012,            0.038504,           0.0065038,           0.0065038
                  23,            0.059276,            0.015667,            0.028944,             0.48279,             0.75825,             0.63294,             0.26679,            0.042066,            0.010032,            0.021965,            0.035777,           0.0067767,           0.0067767
                  24,            0.066272,            0.015729,            0.029904,             0.23479,               0.575,             0.32829,            0.086944,            0.049312,           0.0093379,            0.021216,            0.033048,           0.0070484,           0.0070484
                  25,            0.070848,            0.016578,            0.029239,             0.57665,             0.85267,             0.68004,             0.19466,            0.050846,            0.009378,            0.020259,            0.030319,           0.0073188,           0.0073188
                  26,              0.0687,            0.014274,            0.028904,             0.29325,             0.73852,             0.43414,             0.13242,            0.056776,           0.0086873,            0.019351,            0.027588,           0.0075882,           0.0075882
                  27,            0.073242,            0.014275,            0.027526,             0.49363,                 0.7,             0.61692,             0.20585,            0.043088,           0.0095634,            0.018424,            0.024856,           0.0078563,           0.0078563
                  28,            0.065121,             0.01643,            0.027995,             0.49363,                 0.7,             0.61692,             0.20585,            0.043088,           0.0095634,            0.018424,            0.022123,           0.0081232,           0.0081232
                  29,            0.059401,            0.016726,            0.027499,             0.58406,                 0.8,             0.77134,             0.37128,            0.038389,           0.0095532,            0.017779,            0.019389,            0.008389,            0.008389
                  30,             0.05928,            0.015301,            0.025758,             0.55118,               0.975,             0.64985,             0.25527,            0.050268,           0.0087454,            0.016851,            0.016654,           0.0086535,           0.0086535
                  31,            0.066303,            0.014942,            0.026282,             0.32681,               0.925,             0.58507,             0.25482,            0.043283,           0.0084477,            0.015515,            0.013917,           0.0089169,           0.0089169
                  32,            0.072886,            0.015407,              0.0263,             0.32681,               0.925,             0.58507,             0.25482,            0.043283,           0.0084477,            0.015515,            0.011179,           0.0091791,           0.0091791
                  33,            0.061722,            0.014047,            0.023587,             0.46134,               0.925,             0.72452,             0.25794,            0.043522,            0.008651,            0.015309,           0.0093466,           0.0093466,           0.0093466
                  34,            0.063769,            0.013399,            0.022829,             0.18076,                0.75,             0.27601,            0.067089,            0.053622,           0.0088181,            0.015849,           0.0093466,           0.0093466,           0.0093466
